Claim Number,date_of_loss,Notifier,Loss_code,Loss_description,Notification_period,Inception_to_loss,Location_of_incident,Weather_conditions,Vehicle_mobile,Time_hour,Main_driver,PH_considered_TP_at_fault,Vechile_registration_present,Incident_details_present,Injury_details_present,TP_type_insd_pass_back,TP_type_insd_pass_front,TP_type_driver,TP_type_pass_back,TP_type_pass_front,TP_type_bike,TP_type_cyclist,TP_type_pass_multi,TP_type_pedestrian,TP_type_other,TP_type_nk,TP_injury_whiplash,TP_injury_traumatic,TP_injury_fatality,TP_injury_unclear,TP_injury_nk,TP_region_eastang,TP_region_eastmid,TP_region_london,TP_region_north,TP_region_northw,TP_region_outerldn,TP_region_scotland,TP_region_southe,TP_region_southw,TP_region_wales,TP_region_westmid,TP_region_yorkshire,Incurred,Capped Incurred,
1,2003-04-15,PH,LD003,Head on collision,22,13,Main Road,NORMAL,Y,10,Other,n/k, 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , £	-   , £	-   ,
7242,2015-03-28,Other,LD003,Head on collision,0,67,Main Road,WET,N,8,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ," £	4,218 "," £	4,218 ",
7243,2015-03-28,Other,LD003,Head on collision,0,178,Minor Road,N/A,Y,9,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ," £	4,722 "," £	4,722 ",
7244,2015-03-29,Other,LD003,Head on collision,0,26,Minor Road,N/A,N,13,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	2 , 	-   , 	-   , 	-   , 	-   ," £	15,546 "," £	15,546 ",
7245,2015-03-29,Other,LD003,Head on collision,2,81,Minor Road,WET,N,3,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	2 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	2 , 	-   , 	-   ," £	16,461 "," £	16,461 ",
7246,2015-03-29,Other,LD003,Head on collision,0,71,Main Road,N/A,N,13,Y,N, 	1 , 	-   , 	1 , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	2 , 	1 , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	2 , 	-   , 	-   , 	-   , 	-   ," £	27,990 "," £	27,990 ",
7247,2015-03-29,Other,LD003,Head on collision,0,104,Minor Road,N/A,N,15,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ," £	9,874 "," £	9,874 ",
7248,2015-03-29,Other,LD003,Head on collision,1,67,Main Road,NORMAL,Y,17,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ," £	2,597 "," £	2,597 ",
7249,2015-03-30,Other,LD003,Head on collision,1,198,Main Road,NORMAL,Y,17,N,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , £	409 , £	409 ,
7250,2015-03-30,Other,LD003,Head on collision,1,54,Main Road,N/A,Y,17,Y,N, 	1 , 	1 , 	1 , 	3 , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	2 , 	-   , 	-   , 	2 , 	2 , 	-   , 	-   , 	-   , 	-   , 	2 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ," £	10,560 "," £	10,560 ",
7251,2015-03-31,Other,LD003,Head on collision,1,350,Minor Road,NORMAL,N,16,Y,N, 	1 , 	1 , 	1 , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ," £	10,793 "," £	10,793 ",
7252,2015-03-31,Other,LD003,Head on collision,0,37,Main Road,NORMAL,N,15,Y,N, 	1 , 	1 , 	1 , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , £	-   , £	-   ,
7253,2015-03-31,Other,LD003,Head on collision,0,62,Main Road,NORMAL,Y,15,Y,N, 	1 , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ," £	9,410 "," £	9,410 ",
7254,2015-03-31,Other,LD003,Head on collision,0,227,Minor Road,N/A,N,17,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ," £	2,018 "," £	2,018 ",
7255,2015-03-31,Other,LD003,Head on collision,1,357,Minor Road,N/A,Y,20,Y,N, 	1 , 	1 , 	1 , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ," £	1,714 "," £	1,714 ",
7256,2015-04-01,Other,LD003,Head on collision,0,147,Minor Road,NORMAL,N,7,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ," £	5,047 "," £	5,047 ",
7257,2015-04-01,Other,LD003,Head on collision,0,297,Main Road,N/A,Y,12,Other,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ," £	10,365 "," £	10,365 ",
7258,2015-04-01,Other,LD003,Head on collision,23,242,Main Road,N/K,n/k,0,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , £	186 , £	186 ,
7259,2015-04-01,Other,LD003,Head on collision,0,343,Minor Road,NORMAL,N,7,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ," £	9,383 "," £	9,383 ",
7260,2015-04-01,Other,LD003,Head on collision,1,289,Main Road,N/A,Y,22,Y,N, 	1 , 	1 , 	1 , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , £	-   , £	-   ,
7261,2015-04-01,Other,LD003,Head on collision,1,76,Main Road,N/A,N,21,Other,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 ," £	19,118 "," £	19,118 ",
7262,2015-04-01,Other,LD003,Head on collision,0,159,Minor Road,N/A,Y,8,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , £	899 , £	899 ,
7263,2015-04-01,Other,LD003,Head on collision,1,104,Minor Road,WET,Y,8,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   ," £	8,819 "," £	8,819 ",
7264,2015-04-01,Other,LD003,Head on collision,0,334,Minor Road,NORMAL,Y,16,Y,N, 	1 , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   ," £	4,181 "," £	4,181 ",
7265,2015-04-02,Other,LD003,Head on collision,0,244,Main Road,NORMAL,Y,7,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , £	-   , £	-   ,
7266,2015-04-02,Other,LD003,Head on collision,1,4,Main Road,N/A,N,20,Other,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	2 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ," £	8,204 "," £	8,204 ",
7267,2015-04-02,Other,LD003,Head on collision,41,127,Other,N/K,n/k,0,Other,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , £	121 , £	121 ,
7268,2015-04-02,Other,LD003,Head on collision,2,166,Minor Road,WET,Y,19,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , £	142 , £	142 ,
7269,2015-04-02,Other,LD003,Head on collision,0,125,Minor Road,NORMAL,N,8,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ," £	1,562 "," £	1,562 ",
7270,2015-04-03,Other,LD003,Head on collision,119,360,Main Road,WET,n/k,5,Other,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 ," £	14,438 "," £	14,438 ",
7271,2015-04-03,Other,LD003,Head on collision,1,268,Minor Road,NORMAL,Y,9,Y,N, 	1 , 	1 , 	1 , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   ," £	2,042 "," £	2,042 ",
7272,2015-04-04,Other,LD003,Head on collision,0,6,Main Road,N/A,Y,13,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , £	249 , £	249 ,
7273,2015-04-04,Other,LD003,Head on collision,0,190,Main Road,NORMAL,Y,15,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ," £	1,008 "," £	1,008 ",
7274,2015-04-04,Other,LD003,Head on collision,16,81,Main Road,NORMAL,n/k,3,N,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , £	385 , £	385 ,
7275,2015-04-05,Other,LD003,Head on collision,1,335,Main Road,N/A,N,15,N,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , £	536 , £	536 ,
7276,2015-04-06,Other,LD003,Head on collision,0,248,Minor Road,NORMAL,N,15,Y,N, 	1 , 	1 , 	1 , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , £	193 , £	193 ,
7277,2015-04-06,Other,LD003,Head on collision,0,32,Car Park,NORMAL,Y,11,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ," £	9,264 "," £	9,264 ",
7278,2015-04-06,Other,LD003,Head on collision,0,17,Main Road,NORMAL,Y,13,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , £	142 , £	142 ,
7279,2015-04-06,Other,LD003,Head on collision,7,215,Minor Road,NORMAL,Y,17,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , £	-   , £	-   ,
7280,2015-04-07,Other,LD003,Head on collision,1,234,Minor Road,NORMAL,Y,19,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , £	380 , £	380 ,
7281,2015-04-08,Other,LD003,Head on collision,0,1,Minor Road,N/A,Y,18,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , £	240 , £	240 ,
7282,2015-04-08,Other,LD003,Head on collision,1,282,Main Road,NORMAL,N,17,Y,N, 	1 , 	1 , 	1 , 	-   , 	-   , 	2 , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	2 , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	2 , 	-   , £	131 , £	131 ,
7283,2015-04-08,Other,LD003,Head on collision,3,168,Minor Road,N/A,Y,13,Other,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   ," £	2,004 "," £	2,004 ",
7284,2015-04-09,Other,LD003,Head on collision,64,297,Other,N/A,n/k,0,Other,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , £	-   , £	-   ,
7285,2015-04-10,Other,LD003,Head on collision,20,114,Main Road,N/K,n/k,22,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , £	142 , £	142 ,
7286,2015-04-10,Other,LD003,Head on collision,0,94,Main Road,N/A,Y,14,Y,N, 	1 , 	1 , 	1 , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	1 , 	2 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ," £	2,778 "," £	2,778 ",
7287,2015-04-10,Other,LD003,Head on collision,0,196,Minor Road,NORMAL,Y,7,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ," £	1,945 "," £	1,945 ",
7288,2015-04-10,Other,LD003,Head on collision,0,226,Minor Road,NORMAL,N,18,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , £	402 , £	402 ,
7289,2015-04-10,Other,LD003,Head on collision,0,325,Minor Road,NORMAL,Y,15,Other,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ," £	1,587 "," £	1,587 ",
7290,2015-04-10,Other,LD003,Head on collision,0,131,Minor Road,NORMAL,Y,15,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ," £	1,844 "," £	1,844 ",
7291,2015-04-10,Other,LD003,Head on collision,0,235,Minor Road,NORMAL,N,15,Other,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , £	809 , £	809 ,
7292,2015-04-11,Other,LD003,Head on collision,0,78,Minor Road,WET,Y,10,Other,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , £	-   , £	-   ,
7293,2015-04-11,Other,LD003,Head on collision,0,228,Main Road,NORMAL,N,14,Y,N, 	1 , 	1 , 	1 , 	-   , 	-   , 	1 , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	1 , 	2 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	3 , 	-   , 	-   , 	-   , 	-   ," £	20,941 "," £	20,941 ",
7294,2015-04-11,Other,LD003,Head on collision,1,308,Minor Road,NORMAL,Y,9,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , £	-   , £	-   ,
7295,2015-04-11,Other,LD003,Head on collision,2,174,Minor Road,NORMAL,Y,9,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , £	30 , £	30 ,
7296,2015-04-11,Other,LD003,Head on collision,0,113,Car Park,N/A,N,1,Y,N, 	1 , 	1 , 	1 , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   ," £	59,537 "," £	50,000 ",
7297,2015-04-11,Other,LD003,Head on collision,2,259,Minor Road,NORMAL,Y,12,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , £	-   , £	-   ,
7298,2015-04-12,Other,LD003,Head on collision,0,338,Minor Road,N/A,Y,12,Other,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , £	-   , £	-   ,
7299,2015-04-12,Other,LD003,Head on collision,0,338,Minor Road,N/A,Y,12,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , £	-   , £	-   ,
7300,2015-04-12,Other,LD003,Head on collision,0,196,Minor Road,N/A,N,12,Other,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , £	-   , £	-   ,
7301,2015-04-12,Other,LD003,Head on collision,0,46,Minor Road,N/A,N,10,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   ," £	12,110 "," £	12,110 ",
7302,2015-04-13,Other,LD003,Head on collision,8,210,Main Road,NORMAL,Y,14,N,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   ," £	9,641 "," £	9,641 ",
